,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소,y
1449,2022-04-25,1.0055344209484716,0.9909890172732304,1.0125242903042968,1.0055344209484716,1.0055344209484716,-0.003769329389645492,-0.003769329389645492,-0.003769329389645492,-0.004519495929465034,-0.004519495929465034,-0.004519495929465034,0.0007501665398195411,0.0007501665398195411,0.0007501665398195411,0.0,0.0,0.0,1.001765091558826,0.9983674
1450,2022-04-27,1.005547841686631,0.99005479505804,1.0125113333365625,1.005547841686631,1.005547841686631,-0.004466500207464776,-0.004466500207464776,-0.004466500207464776,-0.004997650329911996,-0.004997650329911996,-0.004997650329911996,0.00053115012244722,0.00053115012244722,0.00053115012244722,0.0,0.0,0.0,1.0010813414791662,0.9985108
1451,2022-04-29,1.0055612624247903,0.989944881184059,1.012332081901263,1.0055612624247903,1.0055612624247903,-0.004030071878101327,-0.004030071878101327,-0.004030071878101327,-0.00432662884579696,-0.00432662884579696,-0.00432662884579696,0.0002965569676956332,0.0002965569676956332,0.0002965569676956332,0.0,0.0,0.0,1.001531190546689,1.0057199
1452,2022-05-02,1.0055813935320292,0.9891361366136615,1.0124640452150095,1.0055813935320292,1.0055813935320292,-0.00456467319216207,-0.00456467319216207,-0.00456467319216207,-0.00451949592942937,-0.00451949592942937,-0.00451949592942937,-4.517726273270007e-05,-4.517726273270007e-05,-4.517726273270007e-05,0.0,0.0,0.0,1.0010167203398672,1.004469
1453,2022-05-04,1.0055948142701887,0.9892072892141706,1.0118278063610413,1.0055948142701887,1.0055948142701887,-0.005239027699855057,-0.005239027699855057,-0.005239027699855057,-0.004997650329911918,-0.004997650329911918,-0.004997650329911918,-0.0002413773699431378,-0.0002413773699431378,-0.0002413773699431378,0.0,0.0,0.0,1.0003557865703336,1.0044715
1454,2022-05-06,1.005608235008348,0.9902232718173868,1.0115705856233344,1.005608235008348,1.005608235008348,-0.004722494495550764,-0.004722494495550764,-0.004722494495550764,-0.004326628845798147,-0.004326628845798147,-0.004326628845798147,-0.00039586564975261723,-0.00039586564975261723,-0.00039586564975261723,0.0,0.0,0.0,1.000885740512797,0.9915685
1455,2022-05-10,1.0056350764846667,0.989434609086877,1.011982765386914,1.0056350764846667,1.0056350764846667,-0.005098369058279336,-0.005098369058279336,-0.005098369058279336,-0.004551749711616382,-0.004551749711616382,-0.004551749711616382,-0.000546619346662955,-0.000546619346662955,-0.000546619346662955,0.0,0.0,0.0,1.0005367074263873,1.0022469
1456,2022-05-11,1.0056417868537464,0.9897914085573146,1.0109414041122509,1.0056417868537464,1.0056417868537464,-0.005547071382837583,-0.005547071382837583,-0.005547071382837583,-0.004997650329911684,-0.004997650329911684,-0.004997650329911684,-0.000549421052925898,-0.000549421052925898,-0.000549421052925898,0.0,0.0,0.0,1.0000947154709088,0.9900521
1457,2022-05-12,1.0056484972228261,0.9901192042461352,1.0123225132328026,1.0056484972228261,1.0056484972228261,-0.0048306736298291955,-0.0048306736298291955,-0.0048306736298291955,-0.0042917926398382345,-0.0042917926398382345,-0.0042917926398382345,-0.000538880989990961,-0.000538880989990961,-0.000538880989990961,0.0,0.0,0.0,1.000817823592997,0.9900545
1458,2022-05-17,1.0056820490682243,0.989338588019831,1.0112282316687649,1.0056820490682243,1.0056820490682243,-0.004874818869130437,-0.004874818869130437,-0.004874818869130437,-0.004551749711618838,-0.004551749711618838,-0.004551749711618838,-0.00032306915751159843,-0.00032306915751159843,-0.00032306915751159843,0.0,0.0,0.0,1.000807230199094,0.9925528
1459,2022-05-19,1.0056954698063838,0.9904182688470043,1.012664840379701,1.0056954698063838,1.0056954698063838,-0.004480031983337589,-0.004480031983337589,-0.004480031983337589,-0.004291792639842525,-0.004291792639842525,-0.004291792639842525,-0.00018823934349506368,-0.00018823934349506368,-0.00018823934349506368,0.0,0.0,0.0,1.0012154378230462,0.9925525
1460,2022-05-20,1.0057021801754633,0.9899302409187614,1.0125103199492858,1.0057021801754633,1.0057021801754633,-0.004443908288975631,-0.004443908288975631,-0.004443908288975631,-0.004326628845775735,-0.004326628845775735,-0.004326628845775735,-0.00011727944319989649,-0.00011727944319989649,-0.00011727944319989649,0.0,0.0,0.0,1.0012582718864877,1.0031639
1461,2022-05-25,1.0057357320208618,0.9902899777495724,1.0122309227978143,1.0057357320208618,1.0057357320208618,-0.004790923691354385,-0.004790923691354385,-0.004790923691354385,-0.004997650329912211,-0.004997650329912211,-0.004997650329912211,0.00020672663855782677,0.00020672663855782677,0.00020672663855782677,0.0,0.0,0.0,1.0009448083295074,1.0139271
1462,2022-05-27,1.005749152759021,0.9895678066811651,1.0128313196535732,1.005749152759021,1.005749152759021,-0.004029628598087069,-0.004029628598087069,-0.004029628598087069,-0.004326628845764531,-0.004326628845764531,-0.004326628845764531,0.0002970002476774613,0.0002970002476774613,0.0002970002476774613,0.0,0.0,0.0,1.001719524160934,1.0132138
1463,2022-05-30,1.0057692838662602,0.990676923799094,1.0126158692037457,1.0057692838662602,1.0057692838662602,-0.004149881275093911,-0.004149881275093911,-0.004149881275093911,-0.0045194959294277024,-0.0045194959294277024,-0.0045194959294277024,0.0003696146543337905,0.0003696146543337905,0.0003696146543337905,0.0,0.0,0.0,1.0016194025911662,1.0142521
1464,2022-06-03,1.0057961253425787,0.9902925639286755,1.0135561524754155,1.0057961253425787,1.0057961253425787,-0.003982502986610962,-0.003982502986610962,-0.003982502986610962,-0.004326628845811894,-0.004326628845811894,-0.004326628845811894,0.0003441258592009328,0.0003441258592009328,0.0003441258592009328,0.0,0.0,0.0,1.0018136223559677,0.9952006
1465,2022-06-07,1.0058229668188976,0.9911159187168918,1.0128380853303744,1.0058229668188976,1.0058229668188976,-0.0043496171657619,-0.0043496171657619,-0.0043496171657619,-0.004551749711605873,-0.004551749711605873,-0.004551749711605873,0.0002021325458439729,0.0002021325458439729,0.0002021325458439729,0.0,0.0,0.0,1.0014733496531356,0.9949097
1466,2022-06-09,1.0058363875570568,0.9909151340331477,1.0124259904571662,1.0058363875570568,1.0058363875570568,-0.004190506086885753,-0.004190506086885753,-0.004190506086885753,-0.004291792639833523,-0.004291792639833523,-0.004291792639833523,0.00010128655294776985,0.00010128655294776985,0.00010128655294776985,0.0,0.0,0.0,1.0016458814701712,0.9991851
1467,2022-06-13,1.0058632290333755,0.9892207332034869,1.0123788031816812,1.0058632290333755,1.0058632290333755,-0.00465044360440165,-0.00465044360440165,-0.00465044360440165,-0.004519495929438072,-0.004519495929438072,-0.004519495929438072,-0.0001309476749635778,-0.0001309476749635778,-0.0001309476749635778,0.0,0.0,0.0,1.0012127854289739,0.9991901
1468,2022-06-14,1.0058699394024553,0.9894289170949423,1.0117140744191242,1.0058699394024553,1.0058699394024553,-0.004743519561622912,-0.004743519561622912,-0.004743519561622912,-0.004551749711616856,-0.004551749711616856,-0.004551749711616856,-0.0001917698500060566,-0.0001917698500060566,-0.0001917698500060566,0.0,0.0,0.0,1.0011264198408323,1.0032086
1469,2022-06-15,1.0058766497715348,0.9899005184041395,1.0116959000752865,1.0058766497715348,1.0058766497715348,-0.005250344344873442,-0.005250344344873442,-0.005250344344873442,-0.004997650329911823,-0.004997650329911823,-0.004997650329911823,-0.00025269401496161986,-0.00025269401496161986,-0.00025269401496161986,0.0,0.0,0.0,1.0006263054266613,1.002671
