,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 영화키스톤건축사사무소,y
1013,2019-04-01,0.9930737099318909,0.9807615222238559,1.0069622891327468,0.9930737099318909,0.9930737099318909,0.0012430080245680137,0.0012430080245680137,0.0012430080245680137,0.0009655730730178478,0.0009655730730178478,0.0009655730730178478,0.00027743495155016615,0.00027743495155016615,0.00027743495155016615,0.0,0.0,0.0,0.9943167179564589,0.9960241516
1014,2019-04-02,0.9930556390965374,0.9804693595257286,1.008164444650629,0.9930556390965374,0.9930556390965374,0.0015877240364498373,0.0015877240364498373,0.0015877240364498373,0.0012436836250189593,0.0012436836250189593,0.0012436836250189593,0.0003440404114308779,0.0003440404114308779,0.0003440404114308779,0.0,0.0,0.0,0.9946433631329872,0.9863246613
1015,2019-04-03,0.9930375682611838,0.981146545139087,1.0069887402214845,0.9930375682611838,0.9930375682611838,0.000714043555029413,0.000714043555029413,0.000714043555029413,0.0003042856744214116,0.0003042856744214116,0.0003042856744214116,0.00040975788060800125,0.00040975788060800125,0.00040975788060800125,0.0,0.0,0.0,0.9937516118162133,0.9970498819
1016,2019-04-04,0.9930194974258303,0.9808186621319265,1.0068587455734772,0.9930194974258303,0.9930194974258303,0.0010095143309706057,0.0010095143309706057,0.0010095143309706057,0.0005343490729118483,0.0005343490729118483,0.0005343490729118483,0.0004751652580587575,0.0004751652580587575,0.0004751652580587575,0.0,0.0,0.0,0.9940290117568009,0.9866749534
1017,2019-04-05,0.9930014265904767,0.9812155459423845,1.0064961291584822,0.9930014265904767,0.9930014265904767,0.0014527885002164772,0.0014527885002164772,0.0014527885002164772,0.0009119701517346802,0.0009119701517346802,0.0009119701517346802,0.000540818348481797,0.000540818348481797,0.000540818348481797,0.0,0.0,0.0,0.9944542150906932,0.9861743112
1018,2019-04-10,0.992911072413709,0.9813130291696242,1.006853169426716,0.992911072413709,0.992911072413709,0.0011903038172296682,0.0011903038172296682,0.0011903038172296682,0.00030428567442117066,0.00030428567442117066,0.00030428567442117066,0.0008860181428084976,0.0008860181428084976,0.0008860181428084976,0.0,0.0,0.0,0.9941013762309386,0.9863239403
1019,2019-04-11,0.9928930015783556,0.9802229450010707,1.0077383932634392,0.9928930015783556,0.9928930015783556,0.0014934473283353595,0.0014934473283353595,0.0014934473283353595,0.0005343490729127659,0.0005343490729127659,0.0005343490729127659,0.0009590982554225938,0.0009590982554225938,0.0009590982554225938,0.0,0.0,0.0,0.9943864489066909,0.986198252
1020,2019-04-12,0.992874930743002,0.9820083975235235,1.0077800596711504,0.992874930743002,0.992874930743002,0.0019448778768851593,0.0019448778768851593,0.0019448778768851593,0.000911970151737611,0.000911970151737611,0.000911970151737611,0.0010329077251475484,0.0010329077251475484,0.0010329077251475484,0.0,0.0,0.0,0.9948198086198872,0.9972499109
1021,2019-04-17,0.9927845765662343,0.9814097259624837,1.0069928213309207,0.9927845765662343,0.9927845765662343,0.0016882191079054412,0.0016882191079054412,0.0016882191079054412,0.00030428567442138707,0.00030428567442138707,0.00030428567442138707,0.0013839334334840542,0.0013839334334840542,0.0013839334334840542,0.0,0.0,0.0,0.9944727956741397,0.9968990723
1022,2019-04-18,0.9927665057308808,0.9817173513836188,1.007826245959403,0.9927665057308808,0.9927665057308808,0.0019769796345002052,0.0019769796345002052,0.0019769796345002052,0.0005343490729088581,0.0005343490729088581,0.0005343490729088581,0.0014426305615913473,0.0014426305615913473,0.0014426305615913473,0.0,0.0,0.0,0.9947434853653809,0.9858987694
