ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)태원종합기술단건축사사무소
2018-01-24,1.004574266026046,0.9897640073301625,1.017043633007168,1.004574266026046,1.004574266026046,-0.0016792487951097109,-0.0016792487951097109,-0.0016792487951097109,0.00017801042192190533,0.00017801042192190533,0.00017801042192190533,-0.0018572592170316164,-0.0018572592170316164,-0.0018572592170316164,0.0,0.0,0.0,1.0028950172309363
2018-01-25,1.0046025295745926,0.9911469347849857,1.0161390308596971,1.0046025295745926,1.0046025295745926,-0.0015611898465851017,-0.0015611898465851017,-0.0015611898465851017,0.0004362114318291728,0.0004362114318291728,0.0004362114318291728,-0.0019974012784142745,-0.0019974012784142745,-0.0019974012784142745,0.0,0.0,0.0,1.0030413397280076
2018-01-26,1.004630793123139,0.9908567982707135,1.0182887059196277,1.004630793123139,1.004630793123139,-0.0017130234476462562,-0.0017130234476462562,-0.0017130234476462562,0.00040799534184515497,0.00040799534184515497,0.00040799534184515497,-0.002121018789491411,-0.002121018789491411,-0.002121018789491411,0.0,0.0,0.0,1.0029177696754927
2018-02-01,1.0048003744144187,0.989232881206581,1.0165959818769537,1.0048003744144187,1.0048003744144187,-0.002014396878951578,-0.002014396878951578,-0.002014396878951578,0.00043621143182955783,0.00043621143182955783,0.00043621143182955783,-0.002450608310781136,-0.002450608310781136,-0.002450608310781136,0.0,0.0,0.0,1.002785977535467
2018-02-02,1.0048286379629654,0.9880048295303551,1.015664840320662,1.0048286379629654,1.0048286379629654,-0.00202692071547474,-0.00202692071547474,-0.00202692071547474,0.00040799534184436025,0.00040799534184436025,0.00040799534184436025,-0.0024349160573191005,-0.0024349160573191005,-0.0024349160573191005,0.0,0.0,0.0,1.0028017172474906
2018-02-06,1.0049416921571517,0.9899115124601027,1.0168031140782707,1.0049416921571517,1.0049416921571517,-0.0015390268574873769,-0.0015390268574873769,-0.0015390268574873769,0.0006646670663179542,0.0006646670663179542,0.0006646670663179542,-0.002203693923805331,-0.002203693923805331,-0.002203693923805331,0.0,0.0,0.0,1.0034026652996644
2018-02-07,1.0049699557056984,0.9901115508469481,1.0169761560241528,1.0049699557056984,1.0049699557056984,-0.0019344516486050568,-0.0019344516486050568,-0.0019344516486050568,0.00017801042192174124,0.00017801042192174124,0.00017801042192174124,-0.0021124620705267982,-0.0021124620705267982,-0.0021124620705267982,0.0,0.0,0.0,1.0030355040570933
2018-02-12,1.0051112734484313,0.9916462695612748,1.0182284483800053,1.0051112734484313,1.0051112734484313,-0.0011214719490210924,-0.0011214719490210924,-0.0011214719490210924,0.00043665224805945215,0.00043665224805945215,0.00043665224805945215,-0.0015581241970805447,-0.0015581241970805447,-0.0015581241970805447,0.0,0.0,0.0,1.0039898014994102
2018-02-14,1.0051678005455247,0.9903078233508535,1.0177456301947743,1.0051678005455247,1.0051678005455247,-0.0011501719182512933,-0.0011501719182512933,-0.0011501719182512933,0.00017801042192182564,0.00017801042192182564,0.00017801042192182564,-0.0013281823401731189,-0.0013281823401731189,-0.0013281823401731189,0.0,0.0,0.0,1.0040176286272733
2018-02-20,1.0053373818368043,0.9915130134237982,1.0189208912539847,1.0053373818368043,1.0053373818368043,-0.00010492195278172317,-0.00010492195278172317,-0.00010492195278172317,0.0006646670663181265,0.0006646670663181265,0.0006646670663181265,-0.0007695890190998496,-0.0007695890190998496,-0.0007695890190998496,0.0,0.0,0.0,1.0052324598840225
