ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(자)건축사사무소 태백
2013-04-03,0.9993199898890117,0.9801829580373467,1.0206647416466557,0.9993199898890117,0.9993199898890117,0.0011004296600219984,0.0011004296600219984,0.0011004296600219984,-4.823180283844495e-05,-4.823180283844495e-05,-4.823180283844495e-05,0.0011486614628604436,0.0011486614628604436,0.0011486614628604436,0.0,0.0,0.0,1.0004204195490338
2013-04-10,0.9991238908217054,0.9801796020258166,1.0180025775422545,0.9991238908217054,0.9991238908217054,0.001010916336019706,0.001010916336019706,0.001010916336019706,-4.823180284033683e-05,-4.823180284033683e-05,-4.823180284033683e-05,0.0010591481388600428,0.0010591481388600428,0.0010591481388600428,0.0,0.0,0.0,1.0001348071577252
2013-04-12,0.9990678625167608,0.9784546680371712,1.0184641991115806,0.9990678625167608,0.9990678625167608,-0.00041163156796076124,-0.00041163156796076124,-0.00041163156796076124,-0.0013771189775240076,-0.0013771189775240076,-0.0013771189775240076,0.0009654874095632462,0.0009654874095632462,0.0009654874095632462,0.0,0.0,0.0,0.9986562309488001
2013-04-16,0.9989558059068715,0.9801485297249523,1.0185443334304836,0.9989558059068715,0.9989558059068715,0.0007066610452823112,0.0007066610452823112,0.0007066610452823112,-4.5126723790224784e-05,-4.5126723790224784e-05,-4.5126723790224784e-05,0.000751787769072536,0.000751787769072536,0.000751787769072536,0.0,0.0,0.0,0.9996624669521538
2013-04-18,0.9988997776019268,0.979888574136363,1.0186553329692294,0.9988997776019268,0.9988997776019268,0.0004107435101088341,0.0004107435101088341,0.0004107435101088341,-0.00024271327691069474,-0.00024271327691069474,-0.00024271327691069474,0.0006534567870195288,0.0006534567870195288,0.0006534567870195288,0.0,0.0,0.0,0.9993105211120357
2013-04-19,0.9988717634494545,0.9784672560248154,1.0172658217064443,0.9988717634494545,0.9988717634494545,-0.0007664628764369061,-0.0007664628764369061,-0.0007664628764369061,-0.001377118977525743,-0.001377118977525743,-0.001377118977525743,0.0006106561010888367,0.0006106561010888367,0.0006106561010888367,0.0,0.0,0.0,0.9981053005730176
2013-04-23,0.9987597068395653,0.9786094997925181,1.0181555060183736,0.9987597068395653,0.9987597068395653,0.00045654364217086874,0.00045654364217086874,0.00045654364217086874,-4.512672378881353e-05,-4.512672378881353e-05,-4.512672378881353e-05,0.0005016703659596822,0.0005016703659596822,0.0005016703659596822,0.0,0.0,0.0,0.9992162504817361
2013-04-24,0.9987316926870928,0.9789292870956926,1.0197817468984822,0.9987316926870928,0.9987316926870928,0.00044422980836258936,0.00044422980836258936,0.00044422980836258936,-4.8231802839415424e-05,-4.8231802839415424e-05,-4.8231802839415424e-05,0.0004924616112020048,0.0004924616112020048,0.0004924616112020048,0.0,0.0,0.0,0.9991759224954554
2013-04-26,0.9986756643821483,0.9774672066975532,1.0171102156032321,0.9986756643821483,0.9986756643821483,-0.0008806634952907192,-0.0008806634952907192,-0.0008806634952907192,-0.0013771189775222971,-0.0013771189775222971,-0.0013771189775222971,0.000496455482231578,0.000496455482231578,0.000496455482231578,0.0,0.0,0.0,0.9977950008868576
2013-04-30,0.9985636077722589,0.9791279783546798,1.0190206535125763,0.9985636077722589,0.9985636077722589,0.0005373609189408856,0.0005373609189408856,0.0005373609189408856,-4.5126723792280066e-05,-4.5126723792280066e-05,-4.5126723792280066e-05,0.0005824876427331656,0.0005824876427331656,0.0005824876427331656,0.0,0.0,0.0,0.9991009686911998
2013-05-01,0.9985355936197866,0.9804429506177181,1.017843859493158,0.9985355936197866,0.9985355936197866,0.0005676811124338226,0.0005676811124338226,0.0005676811124338226,-4.823180283874842e-05,-4.823180283874842e-05,-4.823180283874842e-05,0.0006159129152725709,0.0006159129152725709,0.0006159129152725709,0.0,0.0,0.0,0.9991032747322204
2013-05-02,0.9985075794673144,0.9802331474968689,1.0174640351065545,0.9985075794673144,0.9985075794673144,0.00040937865555086745,0.00040937865555086745,0.00040937865555086745,-0.00024271327690663212,-0.00024271327690663212,-0.00024271327690663212,0.0006520919324574996,0.0006520919324574996,0.0006520919324574996,0.0,0.0,0.0,0.9989169581228653
2013-05-03,0.9984795653148419,0.9777318627671527,1.0181965232244106,0.9984795653148419,0.9984795653148419,-0.0006872552624542052,-0.0006872552624542052,-0.0006872552624542052,-0.0013771189775188511,-0.0013771189775188511,-0.0013771189775188511,0.0006898637150646459,0.0006898637150646459,0.0006898637150646459,0.0,0.0,0.0,0.9977923100523878
2013-05-07,0.9983675087049527,0.9791957787396718,1.0183741481929676,0.9983675087049527,0.9983675087049527,0.0007875968216053195,0.0007875968216053195,0.0007875968216053195,-4.51267237899888e-05,-4.51267237899888e-05,-4.51267237899888e-05,0.0008327235453953083,0.0008327235453953083,0.0008327235453953083,0.0,0.0,0.0,0.9991551055265581
2013-05-10,0.9982834662475357,0.9773623372131521,1.0180299787652856,0.9982834662475357,0.9982834662475357,-0.0004777230287392147,-0.0004777230287392147,-0.0004777230287392147,-0.001377118977522277,-0.001377118977522277,-0.001377118977522277,0.0008993959487830623,0.0008993959487830623,0.0008993959487830623,0.0,0.0,0.0,0.9978057432187966
2013-05-13,0.9981994237901188,0.9755823553053494,1.0141699274285987,0.9981994237901188,0.9981994237901188,-0.0018097451249006265,-0.0018097451249006265,-0.0018097451249006265,-0.002714922812503255,-0.002714922812503255,-0.002714922812503255,0.0009051776876026287,0.0009051776876026287,0.0009051776876026287,0.0,0.0,0.0,0.9963896786652182
2013-05-14,0.9981714096376464,0.9801382369936691,1.0176910714168346,0.9981714096376464,0.9981714096376464,0.0008462797568173239,0.0008462797568173239,0.0008462797568173239,-4.512672378769787e-05,-4.512672378769787e-05,-4.512672378769787e-05,0.0008914064806050218,0.0008914064806050218,0.0008914064806050218,0.0,0.0,0.0,0.9990176893944637
