ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한국종합건축사사무소
2016-02-18,0.9916205251140201,0.9837875953671869,1.004303940529277,0.9916205251140201,0.9916205251140201,0.0019712626826765825,0.0019712626826765825,0.0019712626826765825,0.0005216538611340653,0.0005216538611340653,0.0005216538611340653,0.0014496088215425174,0.0014496088215425174,0.0014496088215425174,0.0,0.0,0.0,0.9935917877966967
2016-02-22,0.9916018242038641,0.9829113181247117,1.0041431105241796,0.9916018242038641,0.9916018242038641,0.0023450757689855886,0.0023450757689855886,0.0023450757689855886,0.0006951899640925243,0.0006951899640925243,0.0006951899640925243,0.0016498858048930645,0.0016498858048930645,0.0016498858048930645,0.0,0.0,0.0,0.9939468999728497
2016-02-23,0.991597148976325,0.9836806950698959,1.0048398506132579,0.991597148976325,0.991597148976325,0.002819869712909921,0.002819869712909921,0.002819869712909921,0.0011493480661052347,0.0011493480661052347,0.0011493480661052347,0.001670521646804686,0.001670521646804686,0.001670521646804686,0.0,0.0,0.0,0.9944170186892349
2016-02-25,0.9915877985212469,0.9825839738183448,1.004573094758034,0.9915877985212469,0.9915877985212469,0.0021925901240079835,0.0021925901240079835,0.0021925901240079835,0.000521653861135221,0.000521653861135221,0.000521653861135221,0.0016709362628727624,0.0016709362628727624,0.0016709362628727624,0.0,0.0,0.0,0.9937803886452549
2016-02-29,0.9915690976110908,0.9830209698948823,1.0046604348672545,0.9915690976110908,0.9915690976110908,0.0021976597105098257,0.0021976597105098257,0.0021976597105098257,0.000695189964092006,0.000695189964092006,0.000695189964092006,0.00150246974641782,0.00150246974641782,0.00150246974641782,0.0,0.0,0.0,0.9937667573216006
2016-03-02,0.9915597471560127,0.982727374556256,1.0040861085215682,0.9915597471560127,0.9915597471560127,0.00241894139450854,0.00241894139450854,0.00241894139450854,0.0010805646677022106,0.0010805646677022106,0.0010805646677022106,0.0013383767268063294,0.0013383767268063294,0.0013383767268063294,0.0,0.0,0.0,0.9939786885505212
2016-03-03,0.9915550719284738,0.9826034738818203,1.0039265317127002,0.9915550719284738,0.9915550719284738,0.0017607714724061007,0.0017607714724061007,0.0017607714724061007,0.0005216538611327161,0.0005216538611327161,0.0005216538611327161,0.0012391176112733846,0.0012391176112733846,0.0012391176112733846,0.0,0.0,0.0,0.9933158434008799
2016-03-04,0.9915503967009347,0.9833881485936573,1.00373273413979,0.9915503967009347,0.9915503967009347,0.0020413900553650395,0.0020413900553650395,0.0020413900553650395,0.0009114508206411802,0.0009114508206411802,0.0009114508206411802,0.0011299392347238592,0.0011299392347238592,0.0011299392347238592,0.0,0.0,0.0,0.9935917867562998
2016-03-07,0.9915363710183176,0.9823793001370299,1.003582817916987,0.9915363710183176,0.9915363710183176,0.0014522300295580176,0.0014522300295580176,0.0014522300295580176,0.0006951899640976593,0.0006951899640976593,0.0006951899640976593,0.0007570400654603583,0.0007570400654603583,0.0007570400654603583,0.0,0.0,0.0,0.9929886010478756
2016-03-08,0.9915316957907785,0.9833901242201246,1.0039107044066613,0.9915316957907785,0.9915316957907785,0.0017721661147404523,0.0017721661147404523,0.0017721661147404523,0.0011493480661067506,0.0011493480661067506,0.0011493480661067506,0.0006228180486337019,0.0006228180486337019,0.0006228180486337019,0.0,0.0,0.0,0.9933038619055189
2016-03-09,0.9915270205632395,0.9820658439110771,1.0037314135992488,0.9915270205632395,0.9915270205632395,0.0015669293918962098,0.0015669293918962098,0.0015669293918962098,0.001080564667703897,0.001080564667703897,0.001080564667703897,0.000486364724192313,0.000486364724192313,0.000486364724192313,0.0,0.0,0.0,0.9930939499551357
2016-03-11,0.9915176701081614,0.9816632133264668,1.0031996414037536,0.9915176701081614,0.9915176701081614,0.0011247614700153792,0.0011247614700153792,0.0011247614700153792,0.0009114508206393769,0.0009114508206393769,0.0009114508206393769,0.00021331064937600246,0.00021331064937600246,0.00021331064937600246,0.0,0.0,0.0,0.9926424315781768
2016-03-15,0.9914989691980053,0.98238633970151,1.0028828059618125,0.9914989691980053,0.9914989691980053,0.0008578070247741875,0.0008578070247741875,0.0008578070247741875,0.0011493480661036175,0.0011493480661036175,0.0011493480661036175,-0.00029154104132943,-0.00029154104132943,-0.00029154104132943,0.0,0.0,0.0,0.9923567762227795
2016-03-16,0.9914942939704662,0.9815160542613806,1.0018864607019413,0.9914942939704662,0.9914942939704662,0.0006787077256462319,0.0006787077256462319,0.0006787077256462319,0.001080564667702869,0.001080564667702869,0.001080564667702869,-0.0004018569420566371,-0.0004018569420566371,-0.0004018569420566371,0.0,0.0,0.0,0.9921730016961124
2016-03-17,0.9914896187429273,0.9807830010104084,1.0020436885852952,0.9914896187429273,0.9914896187429273,1.769679612006411e-05,1.769679612006411e-05,1.769679612006411e-05,0.0005216538611333234,0.0005216538611333234,0.0005216538611333234,-0.0005039570650132593,-0.0005039570650132593,-0.0005039570650132593,0.0,0.0,0.0,0.9915073155390474
2016-03-18,0.9914849435153882,0.9811213438669404,1.0025660992515228,0.9914849435153882,0.9914849435153882,0.000314207031840788,0.000314207031840788,0.000314207031840788,0.0009114508206375732,0.0009114508206375732,0.0009114508206375732,-0.0005972437887967853,-0.0005972437887967853,-0.0005972437887967853,0.0,0.0,0.0,0.991799150547229
2016-03-23,0.9914615673776931,0.9811984573973447,1.0031407348427417,0.9914615673776931,0.9914615673776931,0.000156194364589691,0.000156194364589691,0.000156194364589691,0.0010805646677027588,0.0010805646677027588,0.0010805646677027588,-0.0009243703031130676,-0.0009243703031130676,-0.0009243703031130676,0.0,0.0,0.0,0.9916177617422828
2016-03-24,0.991456892150154,0.9804504645071448,1.0011219943019098,0.991456892150154,0.991456892150154,-0.00044142044866021113,-0.00044142044866021113,-0.00044142044866021113,0.0005216538611326489,0.0005216538611326489,0.0005216538611326489,-0.00096307430979286,-0.00096307430979286,-0.00096307430979286,0.0,0.0,0.0,0.9910154717014937
2016-03-25,0.991452216922615,0.9813919260014805,1.0022984665492667,0.991452216922615,0.991452216922615,-8.251925798255019e-05,-8.251925798255019e-05,-8.251925798255019e-05,0.0009114508206414603,0.0009114508206414603,0.0009114508206414603,-0.0009939700786240106,-0.0009939700786240106,-0.0009939700786240106,0.0,0.0,0.0,0.9913696976646325
2016-03-28,0.9914381912399979,0.9802166221008741,1.001872660623395,0.9914381912399979,0.9914381912399979,-0.00035186200477248236,-0.00035186200477248236,-0.00035186200477248236,0.00069518996409714,0.00069518996409714,0.00069518996409714,-0.0010470519688696226,-0.0010470519688696226,-0.0010470519688696226,0.0,0.0,0.0,0.9910863292352254
2016-03-29,0.9914335160124588,0.980202797795371,1.0026471534559933,0.9914335160124588,0.9914335160124588,9.520318518806842e-05,9.520318518806842e-05,9.520318518806842e-05,0.001149348066104016,0.001149348066104016,0.001149348066104016,-0.0010541448809159477,-0.0010541448809159477,-0.0010541448809159477,0.0,0.0,0.0,0.9915287191976468
