ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한림이앤씨건축사사무소
2018-10-04,1.0018370101326037,0.9852828547981667,1.013366530527581,1.0018370101326037,1.0018370101326037,-0.0031071210796423778,-0.0031071210796423778,-0.0031071210796423778,-0.003283633607822143,-0.003283633607822143,-0.003283633607822143,0.0001765125281797653,0.0001765125281797653,0.0001765125281797653,0.0,0.0,0.0,0.9987298890529613
2018-10-10,1.0018298436662263,0.9846274050504374,1.011453768784738,1.0018298436662263,1.0018298436662263,-0.00386394280600303,-0.00386394280600303,-0.00386394280600303,-0.003901028569358418,-0.003901028569358418,-0.003901028569358418,3.708576335538805e-05,3.708576335538805e-05,3.708576335538805e-05,0.0,0.0,0.0,0.9979659008602233
2018-10-11,1.0018286492551634,0.9847924019675657,1.0119560394106675,1.0018286492551634,1.0018286492551634,-0.0033038240254566024,-0.0033038240254566024,-0.0033038240254566024,-0.003283633607825839,-0.003283633607825839,-0.003283633607825839,-2.0190417630763293e-05,-2.0190417630763293e-05,-2.0190417630763293e-05,0.0,0.0,0.0,0.9985248252297068
2018-10-12,1.0018274548441004,0.9835022107066093,1.0116965737249177,1.0018274548441004,1.0018274548441004,-0.0035325487913139804,-0.0035325487913139804,-0.0035325487913139804,-0.003445054837794733,-0.003445054837794733,-0.003445054837794733,-8.749395351924786e-05,-8.749395351924786e-05,-8.749395351924786e-05,0.0,0.0,0.0,0.9982949060527865
2018-10-18,1.001820288377723,0.9850179340130161,1.0118940200618614,1.001820288377723,1.001820288377723,-0.0039486264235244805,-0.0039486264235244805,-0.0039486264235244805,-0.003283633607829534,-0.003283633607829534,-0.003283633607829534,-0.0006649928156949459,-0.0006649928156949459,-0.0006649928156949459,0.0,0.0,0.0,0.9978716619541985
2018-10-19,1.00181909396666,0.9827881117888534,1.0118840871225694,1.00181909396666,1.00181909396666,-0.004224850598976706,-0.004224850598976706,-0.004224850598976706,-0.0034450548377855947,-0.0034450548377855947,-0.0034450548377855947,-0.0007797957611911119,-0.0007797957611911119,-0.0007797957611911119,0.0,0.0,0.0,0.9975942433676833
2018-10-23,1.0018143163224085,0.9837860416283097,1.0116074103044483,1.0018143163224085,1.0018143163224085,-0.004505819380869849,-0.004505819380869849,-0.004505819380869849,-0.00327038019781913,-0.00327038019781913,-0.00327038019781913,-0.0012354391830507183,-0.0012354391830507183,-0.0012354391830507183,0.0,0.0,0.0,0.9973084969415387
2018-10-24,1.0018131219113455,0.9826479982513593,1.0114353158536247,1.0018131219113455,1.0018131219113455,-0.005240855440897185,-0.005240855440897185,-0.005240855440897185,-0.003901028569358122,-0.003901028569358122,-0.003901028569358122,-0.001339826871539063,-0.001339826871539063,-0.001339826871539063,0.0,0.0,0.0,0.9965722664704484
2018-10-26,1.0018107330892196,0.9830338475766419,1.0107351014942942,1.0018107330892196,1.0018107330892196,-0.004970729991942463,-0.004970729991942463,-0.004970729991942463,-0.0034450548377947567,-0.0034450548377947567,-0.0034450548377947567,-0.0015256751541477065,-0.0015256751541477065,-0.0015256751541477065,0.0,0.0,0.0,0.9968400030972772
2018-10-30,1.001805955444968,0.982510617356106,1.0100795275051488,1.001805955444968,1.001805955444968,-0.005039846498418832,-0.005039846498418832,-0.005039846498418832,-0.0032703801978155827,-0.0032703801978155827,-0.0032703801978155827,-0.0017694663006032495,-0.0017694663006032495,-0.0017694663006032495,0.0,0.0,0.0,0.9967661089465493
2018-10-31,1.0018047610339051,0.9827066670966126,1.0105758424549858,1.0018047610339051,1.0018047610339051,-0.005699572339564269,-0.005699572339564269,-0.005699572339564269,-0.003901028569357974,-0.003901028569357974,-0.003901028569357974,-0.001798543770206295,-0.001798543770206295,-0.001798543770206295,0.0,0.0,0.0,0.9961051886943408
2018-11-01,1.0018035666228424,0.9829280748495696,1.0100468454936544,1.0018035666228424,1.0018035666228424,-0.005097659546551878,-0.005097659546551878,-0.005097659546551878,-0.0032836336078307846,-0.0032836336078307846,-0.0032836336078307846,-0.0018140259387210928,-0.0018140259387210928,-0.0018140259387210928,0.0,0.0,0.0,0.9967059070762906
2018-11-02,1.0018023722117795,0.9830279559893149,1.011227182004328,1.0018023722117795,1.0018023722117795,-0.005260994630766047,-0.005260994630766047,-0.005260994630766047,-0.003445054837796567,-0.003445054837796567,-0.003445054837796567,-0.0018159397929694806,-0.0018159397929694806,-0.0018159397929694806,0.0,0.0,0.0,0.9965413775810135
2018-11-05,1.0017987889785906,0.9824318764104485,1.0109506619313364,1.0017987889785906,1.0017987889785906,-0.005584250138784918,-0.005584250138784918,-0.005584250138784918,-0.0038398309697354016,-0.0038398309697354016,-0.0038398309697354016,-0.0017444191690495164,-0.0017444191690495164,-0.0017444191690495164,0.0,0.0,0.0,0.9962145388398057
2018-11-07,1.0017964001564648,0.9819084311052504,1.0096809868858414,1.0017964001564648,1.0017964001564648,-0.005541748373973376,-0.005541748373973376,-0.005541748373973376,-0.0039010285693578247,-0.0039010285693578247,-0.0039010285693578247,-0.001640719804615551,-0.001640719804615551,-0.001640719804615551,0.0,0.0,0.0,0.9962546517824914
2018-11-08,1.001795205745402,0.9819158269859565,1.0119589243326947,1.001795205745402,1.001795205745402,-0.004859315739198792,-0.004859315739198792,-0.004859315739198792,-0.003283633607828041,-0.003283633607828041,-0.003283633607828041,-0.0015756821313707503,-0.0015756821313707503,-0.0015756821313707503,0.0,0.0,0.0,0.9969358900062032
