ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토문엔지니어링 건축사사무소
2019-04-12,0.9930798571299041,0.9890478548365761,0.998541123259535,0.9930798571299041,0.9930798571299041,0.0005174965773769955,0.0005174965773769955,0.0005174965773769955,0.0008076577172409751,0.0008076577172409751,0.0008076577172409751,-0.00029016113986397954,-0.00029016113986397954,-0.00029016113986397954,0.0,0.0,0.0,0.9935973537072811
2019-04-17,0.9931081872579026,0.9887181585464335,0.9986223185161568,0.9931081872579026,0.9931081872579026,0.0006391508054936364,0.0006391508054936364,0.0006391508054936364,0.0010757756792058818,0.0010757756792058818,0.0010757756792058818,-0.00043662487371224544,-0.00043662487371224544,-0.00043662487371224544,0.0,0.0,0.0,0.9937473380633962
2019-04-18,0.9931138532835024,0.9880912132397749,0.9983749346034769,0.9931138532835024,0.9931138532835024,0.0002986243043699603,0.0002986243043699603,0.0002986243043699603,0.0007377056804498338,0.0007377056804498338,0.0007377056804498338,-0.0004390813760798734,-0.0004390813760798734,-0.0004390813760798734,0.0,0.0,0.0,0.9934124775878724
2019-04-22,0.9931365173859011,0.9884942316014786,0.9980452189507708,0.9931365173859011,0.9931365173859011,8.459212706498935e-05,8.459212706498935e-05,8.459212706498935e-05,0.0004278845355531084,0.0004278845355531084,0.0004278845355531084,-0.000343292408488119,-0.000343292408488119,-0.000343292408488119,0.0,0.0,0.0,0.9932211095129662
2019-04-23,0.9931421834115008,0.9883542127260434,0.998996131758233,0.9931421834115008,0.9931421834115008,0.000468773552122434,0.000468773552122434,0.000468773552122434,0.0007626119491234389,0.0007626119491234389,0.0007626119491234389,-0.0002938383970010048,-0.0002938383970010048,-0.0002938383970010048,0.0,0.0,0.0,0.9936109569636232
2019-04-25,0.9931535154627003,0.9883925823626839,0.9987183900162089,0.9931535154627003,0.9931535154627003,0.0005686493948249157,0.0005686493948249157,0.0005686493948249157,0.000737705680449649,0.000737705680449649,0.000737705680449649,-0.00016905628562473329,-0.00016905628562473329,-0.00016905628562473329,0.0,0.0,0.0,0.9937221648575252
2019-04-26,0.9931591814883,0.9887450759914821,0.9988228703837456,0.9931591814883,0.9931591814883,0.0007116681983797347,0.0007116681983797347,0.0007116681983797347,0.0008076577172374596,0.0008076577172374596,0.0008076577172374596,-9.598951885772498e-05,-9.598951885772498e-05,-9.598951885772498e-05,0.0,0.0,0.0,0.9938708496866797
2019-04-29,0.9931761795650991,0.9885543254093555,0.9989203994744921,0.9931761795650991,0.9931761795650991,0.0005765365330954907,0.0005765365330954907,0.0005765365330954907,0.00042788453555514685,0.00042788453555514685,0.00042788453555514685,0.00014865199754034386,0.00014865199754034386,0.00014865199754034386,0.0,0.0,0.0,0.9937527160981946
2019-04-30,0.9931818455906988,0.9895219903092639,0.9989455881780037,0.9931818455906988,0.9931818455906988,0.0009957773278042347,0.0009957773278042347,0.0009957773278042347,0.0007626119491210537,0.0007626119491210537,0.0007626119491210537,0.000233165378683181,0.000233165378683181,0.000233165378683181,0.0,0.0,0.0,0.994177622918503
2019-05-02,0.9931931776418981,0.9897321649870224,0.9991440792848789,0.9931931776418981,0.9931931776418981,0.0011338498773626124,0.0011338498773626124,0.0011338498773626124,0.0007377056804507336,0.0007377056804507336,0.0007377056804507336,0.0003961441969118787,0.0003961441969118787,0.0003961441969118787,0.0,0.0,0.0,0.9943270275192607
