,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)케이디엔지니어링건축사사무소,y
153,2022-02-17,0.9974928354371345,0.9859215230894243,1.0081127779465797,0.9974928354371345,0.9974928354371345,0.0005914059584833373,0.0005914059584833373,0.0005914059584833373,0.0005914059584833373,0.0005914059584833373,0.0005914059584833373,0.0,0.0,0.0,0.9980842413956178,1.0014767
154,2022-02-21,0.997497793544404,0.9871835929209266,1.0078845502357074,0.997497793544404,0.997497793544404,-0.00010828041948481632,-0.00010828041948481632,-0.00010828041948481632,-0.00010828041948481632,-0.00010828041948481632,-0.00010828041948481632,0.0,0.0,0.0,0.9973895131249192,0.994625
155,2022-02-22,0.9974990330712213,0.9883916877379512,1.0096577479404691,0.9974990330712213,0.9974990330712213,0.00144297752738945,0.00144297752738945,0.00144297752738945,0.00144297752738945,0.00144297752738945,0.00144297752738945,0.0,0.0,0.0,0.9989420105986108,0.9943292
156,2022-02-24,0.997501512124856,0.9866147964868283,1.0086410514899182,0.997501512124856,0.997501512124856,0.0005914059584833338,0.0005914059584833338,0.0005914059584833338,0.0005914059584833338,0.0005914059584833338,0.0005914059584833338,0.0,0.0,0.0,0.9980929180833393,0.9942872
157,2022-02-25,0.9975027516516735,0.9878269244896487,1.0086324771304565,0.9975027516516735,0.9975027516516735,0.0007835857141682218,0.0007835857141682218,0.0007835857141682218,0.0007835857141682218,0.0007835857141682218,0.0007835857141682218,0.0,0.0,0.0,0.9982863373658417,0.9943294
158,2022-02-28,0.9975064702321256,0.987025705709919,1.0081218629708446,0.9975064702321256,0.9975064702321256,-0.00010828041948328883,-0.00010828041948328883,-0.00010828041948328883,-0.00010828041948328883,-0.00010828041948328883,-0.00010828041948328883,0.0,0.0,0.0,0.9973981898126423,0.9946195
159,2022-03-02,0.9975089493293487,0.9867915588388592,1.0084654143925527,0.9975089493293487,0.9975089493293487,-2.45637179042618e-05,-2.45637179042618e-05,-2.45637179042618e-05,-2.45637179042618e-05,-2.45637179042618e-05,-2.45637179042618e-05,0.0,0.0,0.0,0.9974843856114445,1.0038371
160,2022-03-03,0.9975101888779603,0.987491470741197,1.0089512275760526,0.9975101888779603,0.9975101888779603,0.0005914059584798963,0.0005914059584798963,0.0005914059584798963,0.0005914059584798963,0.0005914059584798963,0.0005914059584798963,0.0,0.0,0.0,0.9981015948364402,0.9942468
161,2022-03-07,0.9975151470724066,0.9866977793469552,1.008695454597463,0.9975151470724066,0.9975151470724066,-0.00010828041948179998,-0.00010828041948179998,-0.00010828041948179998,-0.00010828041948179998,-0.00010828041948179998,-0.00010828041948179998,0.0,0.0,0.0,0.9974068666529248,0.9972756
162,2022-03-10,0.9975188657182413,0.9865405113391584,1.0091030958670493,0.9975188657182413,0.9975188657182413,0.0005914059584826476,0.0005914059584826476,0.0005914059584826476,0.0005914059584826476,0.0005914059584826476,0.0005914059584826476,0.0,0.0,0.0,0.998110271676724,1.0025828
