,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토문엔지니어링 건축사사무소,y
259,2022-08-28,0.9933187546093524,0.9892451990050279,0.9959348195434423,0.9924956809002233,0.9941720985530247,-0.0005483397890076449,-0.0005483397890076449,-0.0005483397890076449,-0.0005483397890076449,-0.0005483397890076449,-0.0005483397890076449,0.0,0.0,0.0,0.9927704148203448,
260,2022-08-29,0.993321891036923,0.9901793050846216,0.9968816269762945,0.9924698690366804,0.994201090652411,0.00011128862455057511,0.00011128862455057511,0.00011128862455057511,0.00011128862455057511,0.00011128862455057511,0.00011128862455057511,0.0,0.0,0.0,0.9934331796614736,
261,2022-08-30,0.9933250274644937,0.990807890387782,0.9972860276647917,0.9924323259773866,0.9942286150226003,0.000711242491815044,0.000711242491815044,0.000711242491815044,0.000711242491815044,0.000711242491815044,0.000711242491815044,0.0,0.0,0.0,0.9940362699563088,
262,2022-08-31,0.9933281638920644,0.9897647376880194,0.9964105234875104,0.9923957421920355,0.9942564756982218,-0.00015228313631888342,-0.00015228313631888342,-0.00015228313631888342,-0.00015228313631888342,-0.00015228313631888342,-0.00015228313631888342,0.0,0.0,0.0,0.9931758807557455,
263,2022-09-01,0.993331300319635,0.9900654766705834,0.9968107520636611,0.992368709659068,0.9942843363738432,0.00010559859572219597,0.00010559859572219597,0.00010559859572219597,0.00010559859572219597,0.00010559859572219597,0.00010559859572219597,0.0,0.0,0.0,0.9934368989153572,
264,2022-09-02,0.9933344367472057,0.9899571162335932,0.9968742259696997,0.9923209382403254,0.9943348785001451,0.0003208331194521229,0.0003208331194521229,0.0003208331194521229,0.0003208331194521229,0.0003208331194521229,0.0003208331194521229,0.0,0.0,0.0,0.9936552698666578,
265,2022-09-03,0.9933375731747763,0.989525043703413,0.9963097659772298,0.9922842636045672,0.9943978606712407,-0.0005483399062139301,-0.0005483399062139301,-0.0005483399062139301,-0.0005483399062139301,-0.0005483399062139301,-0.0005483399062139301,0.0,0.0,0.0,0.9927892332685624,
266,2022-09-04,0.993340709602347,0.9894171119368845,0.9959445509047217,0.9922556270195091,0.9944405207127084,-0.000548339789007114,-0.000548339789007114,-0.000548339789007114,-0.000548339789007114,-0.000548339789007114,-0.000548339789007114,0.0,0.0,0.0,0.9927923698133398,
267,2022-09-05,0.9933438460299177,0.9900822201336211,0.9969886374144431,0.9922271083968863,0.9944823962882409,0.00011128862455126553,0.00011128862455126553,0.00011128862455126553,0.00011128862455126553,0.00011128862455126553,0.00011128862455126553,0.0,0.0,0.0,0.9934551346544689,
268,2022-09-06,0.9933469824574883,0.9907115789494177,0.9974929708369347,0.9921985897742639,0.9945237785997586,0.0007112424918150921,0.0007112424918150921,0.0007112424918150921,0.0007112424918150921,0.0007112424918150921,0.0007112424918150921,0.0,0.0,0.0,0.9940582249493034,
