,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 선엔지니어링종합건축사사무소,y
365,2022-12-15,1.0016044747250252,0.9875661273686442,1.0185511256213833,0.9927316117825199,1.0097707426498062,0.0016643384466126395,0.0016643384466126395,0.0016643384466126395,0.0016643384466126395,0.0016643384466126395,0.0016643384466126395,0.0,0.0,0.0,1.0032688131716379,
366,2022-12-16,1.0016061854420384,0.9872214804906226,1.0166703692550227,0.9926582149332867,1.009847909844811,0.0008305593486571035,0.0008305593486571035,0.0008305593486571035,0.0008305593486571035,0.0008305593486571035,0.0008305593486571035,0.0,0.0,0.0,1.0024367447906954,
367,2022-12-17,1.0016078961590513,0.9827953249253722,1.0118089486578459,0.9925848180840535,1.009944453247003,-0.0043189717380720345,-0.0043189717380720345,-0.0043189717380720345,-0.0043189717380720345,-0.0043189717380720345,-0.0043189717380720345,0.0,0.0,0.0,0.9972889244209793,
368,2022-12-18,1.0016096068760645,0.981981259179898,1.0123070256104356,0.9924611140298892,1.0100482217406825,-0.0043189681681851735,-0.0043189681681851735,-0.0043189681681851735,-0.0043189681681851735,-0.0043189681681851735,-0.0043189681681851735,0.0,0.0,0.0,0.9972906387078793,
369,2022-12-19,1.0016113175930774,0.9883744743681692,1.0195445725984669,0.9923332523320594,1.0101519902343623,0.002377075992658465,0.002377075992658465,0.002377075992658465,0.002377075992658465,0.002377075992658465,0.002377075992658465,0.0,0.0,0.0,1.0039883935857359,
370,2022-12-20,1.0016130283100906,0.987565346876333,1.0194122703088042,0.9922342580720145,1.0102557587280419,0.0017733828885699422,0.0017733828885699422,0.0017733828885699422,0.0017733828885699422,0.0017733828885699422,0.0017733828885699422,0.0,0.0,0.0,1.0033864111986606,
371,2022-12-21,1.0016147390271037,0.9881572060430077,1.0181569685549359,0.9921498989419412,1.0103595272217216,0.0019925832297495753,0.0019925832297495753,0.0019925832297495753,0.0019925832297495753,0.0019925832297495753,0.0019925832297495753,0.0,0.0,0.0,1.0036073222568533,
372,2022-12-22,1.0016164497441167,0.9880844693107858,1.018232734843743,0.9920655398118677,1.0104632957154016,0.001664338446614419,0.001664338446614419,0.001664338446614419,0.001664338446614419,0.001664338446614419,0.001664338446614419,0.0,0.0,0.0,1.003280788190731,
373,2022-12-23,1.00161816046113,0.9874997954101434,1.0169756696387307,0.9919811806817944,1.0105670642090814,0.0008305593486584619,0.0008305593486584619,0.0008305593486584619,0.0008305593486584619,0.0008305593486584619,0.0008305593486584619,0.0,0.0,0.0,1.0024487198097884,
374,2022-12-24,1.001619871178143,0.9810536132662723,1.0123041414944902,0.9918939341415869,1.0106708327027611,-0.004318971738066958,-0.004318971738066958,-0.004318971738066958,-0.004318971738066958,-0.004318971738066958,-0.004318971738066958,0.0,0.0,0.0,0.997300899440076,
375,2022-12-25,1.0016215818951562,0.9823605936843629,1.012112208168336,0.9918097725081751,1.010774433660387,-0.004318968168177777,-0.004318968168177777,-0.004318968168177777,-0.004318968168177777,-0.004318968168177777,-0.004318968168177777,0.0,0.0,0.0,0.9973026137269784,
376,2022-12-26,1.001623292612169,0.9889562397794279,1.0200254771603716,0.991723807479094,1.010877378041628,0.0023770759926653286,0.0023770759926653286,0.0023770759926653286,0.0023770759926653286,0.0023770759926653286,0.0023770759926653286,0.0,0.0,0.0,1.0040003686048344,
377,2022-12-27,1.0016250033291823,0.9873257704641895,1.0178375714450814,0.9916439564741317,1.0109803224228693,0.0017733828885686833,0.0017733828885686833,0.0017733828885686833,0.0017733828885686833,0.0017733828885686833,0.0017733828885686833,0.0,0.0,0.0,1.003398386217751,
378,2022-12-28,1.0016267140461954,0.988609665583923,1.0193061721987335,0.991551283497501,1.0110832668041103,0.001992583229748938,0.001992583229748938,0.001992583229748938,0.001992583229748938,0.001992583229748938,0.001992583229748938,0.0,0.0,0.0,1.0036192972759443,
379,2022-12-29,1.0016284247632083,0.9883906382760617,1.018619153882162,0.9914371108116021,1.0111862111853516,0.0016643384466161987,0.0016643384466161987,0.0016643384466161987,0.0016643384466161987,0.0016643384466161987,0.0016643384466161987,0.0,0.0,0.0,1.0032927632098245,
380,2022-12-30,1.0016301354802215,0.9862322047585403,1.0171006268815668,0.9912667742114369,1.0112891555665928,0.0008305593486598207,0.0008305593486598207,0.0008305593486598207,0.0008305593486598207,0.0008305593486598207,0.0008305593486598207,0.0,0.0,0.0,1.0024606948288812,
381,2022-12-31,1.0016318461972347,0.9822829887363506,1.0141141491139383,0.9911313368671218,1.0113776631639777,-0.004318971738060093,-0.004318971738060093,-0.004318971738060093,-0.004318971738060093,-0.004318971738060093,-0.004318971738060093,0.0,0.0,0.0,0.9973128744591746,
382,2023-01-01,1.0016335569142476,0.9792348050378946,1.0126640505173534,0.9910471188965116,1.0114659304938418,-0.004318968168194285,-0.004318968168194285,-0.004318968168194285,-0.004318968168194285,-0.004318968168194285,-0.004318968168194285,0.0,0.0,0.0,0.9973145887460533,
383,2023-01-02,1.0016352676312608,0.9882273344627736,1.0189453184209265,0.9909732870689979,1.0116004073912417,0.002377075992666045,0.002377075992666045,0.002377075992666045,0.002377075992666045,0.002377075992666045,0.002377075992666045,0.0,0.0,0.0,1.0040123436239268,
384,2023-01-03,1.001636978348274,0.9872648455132514,1.0200841900561346,0.9908777517875091,1.0117054668360612,0.00177338288856779,0.00177338288856779,0.00177338288856779,0.00177338288856779,0.00177338288856779,0.00177338288856779,0.0,0.0,0.0,1.0034103612368417,
385,2023-01-04,1.0016386890652869,0.9873126006968094,1.0193611615451028,0.9907924197517068,1.0118105048751551,0.001992583229748301,0.001992583229748301,0.001992583229748301,0.001992583229748301,0.001992583229748301,0.001992583229748301,0.0,0.0,0.0,1.0036312722950351,
386,2023-01-05,1.0016403997823,0.986703319035705,1.0193385580681318,0.9907070877159043,1.0119140712647725,0.0016643384466093751,0.0016643384466093751,0.0016643384466093751,0.0016643384466093751,0.0016643384466093751,0.0016643384466093751,0.0,0.0,0.0,1.0033047382289093,
387,2023-01-06,1.001642110499313,0.9861814800468469,1.0170638890667374,0.9906217556801017,1.0120176376543901,0.0008305593486490096,0.0008305593486490096,0.0008305593486490096,0.0008305593486490096,0.0008305593486490096,0.0008305593486490096,0.0,0.0,0.0,1.002472669847962,
388,2023-01-07,1.0016438212163261,0.980401686698812,1.0135579644660253,0.9904975996928456,1.0121212040440077,-0.0043189717380612645,-0.0043189717380612645,-0.0043189717380612645,-0.0043189717380612645,-0.0043189717380612645,-0.0043189717380612645,0.0,0.0,0.0,0.9973248494782648,
389,2023-01-08,1.0016455319333393,0.981226502058287,1.0140384982040958,0.9903679437074974,1.0122247704336251,-0.004318968168192061,-0.004318968168192061,-0.004318968168192061,-0.004318968168192061,-0.004318968168192061,-0.004318968168192061,0.0,0.0,0.0,0.9973265637651472,
