,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토펙엔지니어링건축사사무소,y
418,2023-02-06,1.0135584135409017,0.9826998288869734,1.0439074501876986,0.9850146633909957,1.0388632323397171,-9.289108683378901e-05,-9.289108683378901e-05,-9.289108683378901e-05,-9.289108683378901e-05,-9.289108683378901e-05,-9.289108683378901e-05,0.0,0.0,0.0,1.0134655224540678,
419,2023-02-07,1.0136170955517578,0.9849990393414475,1.04535629227954,0.9848024927581737,1.0390789246696284,0.0014703660696212823,0.0014703660696212823,0.0014703660696212823,0.0014703660696212823,0.0014703660696212823,0.0014703660696212823,0.0,0.0,0.0,1.0150874616213792,
420,2023-02-08,1.013675777562614,0.9843379068095057,1.0480925121527442,0.9846517917965678,1.0393336678315728,0.002226628608313963,0.002226628608313963,0.002226628608313963,0.002226628608313963,0.002226628608313963,0.002226628608313963,0.0,0.0,0.0,1.0159024061709279,
421,2023-02-09,1.01373445957347,0.9850452837944406,1.0464889051543151,0.9845010908349617,1.0395884109935167,0.0018893053962943103,0.0018893053962943103,0.0018893053962943103,0.0018893053962943103,0.0018893053962943103,0.0018893053962943103,0.0,0.0,0.0,1.0156237649697644,
422,2023-02-10,1.0137931415843264,0.9842079146918791,1.0441427548096023,0.9843526038079534,1.039843154155461,-2.74137644506187e-05,-2.74137644506187e-05,-2.74137644506187e-05,-2.74137644506187e-05,-2.74137644506187e-05,-2.74137644506187e-05,0.0,0.0,0.0,1.0137657278198757,
423,2023-02-11,1.0138518235951826,0.977948487603304,1.0425017906496874,0.984206495265239,1.040097897317405,-0.0027329988655168387,-0.0027329988655168387,-0.0027329988655168387,-0.0027329988655168387,-0.0027329988655168387,-0.0027329988655168387,0.0,0.0,0.0,1.0111188247296656,
424,2023-02-12,1.0139105056060385,0.978163688000824,1.0394534969520803,0.9840603867225245,1.0403514870554453,-0.002732996357431402,-0.002732996357431402,-0.002732996357431402,-0.002732996357431402,-0.002732996357431402,-0.002732996357431402,0.0,0.0,0.0,1.011177509248607,
425,2023-02-13,1.0139691876168946,0.9831283187336377,1.0420391824996982,0.98391427817981,1.0406022663028318,-9.289108683184289e-05,-9.289108683184289e-05,-9.289108683184289e-05,-9.289108683184289e-05,-9.289108683184289e-05,-9.289108683184289e-05,0.0,0.0,0.0,1.0138762965300627,
426,2023-02-14,1.014027869627751,0.9823330546833406,1.044062546827003,0.9837681696370956,1.0408515402219902,0.0014703660696219801,0.0014703660696219801,0.0014703660696219801,0.0014703660696219801,0.0014703660696219801,0.0014703660696219801,0.0,0.0,0.0,1.015498235697373,
427,2023-02-15,1.014086551638607,0.9852170276292794,1.047625852163925,0.9836220610943812,1.0412367353583203,0.0022266286083138472,0.0022266286083138472,0.0022266286083138472,0.0022266286083138472,0.0022266286083138472,0.0022266286083138472,0.0,0.0,0.0,1.016313180246921,
428,2023-02-16,1.0141452336494632,0.9831322765624556,1.0454036138258243,0.9834763258894544,1.0416783066230453,0.0018893053962931996,0.0018893053962931996,0.0018893053962931996,0.0018893053962931996,0.0018893053962931996,0.0018893053962931996,0.0,0.0,0.0,1.0160345390457564,
429,2023-02-17,1.0142039156603193,0.9817061821783919,1.0447608231734455,0.9833308340545225,1.0420588642312132,-2.7413764453657108e-05,-2.7413764453657108e-05,-2.7413764453657108e-05,-2.7413764453657108e-05,-2.7413764453657108e-05,-2.7413764453657108e-05,0.0,0.0,0.0,1.0141765018958657,
