,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 동우이앤씨,y
77,2021-10-01,0.9890350540037988,0.9799179319390359,0.9946205069261503,0.9890350540037988,0.9890350540037988,-0.002145600659225764,-0.002145600659225764,-0.002145600659225764,-0.002145600659225764,-0.002145600659225764,-0.002145600659225764,0.0,0.0,0.0,0.986889453344573,0.9837037
78,2021-10-06,0.9890438597161909,0.9772056015060551,0.9923050236908602,0.9890438597161909,0.9890438597161909,-0.004158519404499805,-0.004158519404499805,-0.004158519404499805,-0.004158519404499805,-0.004158519404499805,-0.004158519404499805,0.0,0.0,0.0,0.9848853403116911,0.9852009
79,2021-10-07,0.9890456208586693,0.9777977540857933,0.992720078583669,0.9890456208586693,0.9890456208586693,-0.003691860196597415,-0.003691860196597415,-0.003691860196597415,-0.003691860196597415,-0.003691860196597415,-0.003691860196597415,0.0,0.0,0.0,0.9853537606620719,0.9852163
80,2021-10-14,0.9890579488560185,0.9779238851163595,0.9924093094218984,0.9890579488560185,0.9890579488560185,-0.0036918601965916626,-0.0036918601965916626,-0.0036918601965916626,-0.0036918601965916626,-0.0036918601965916626,-0.0036918601965916626,0.0,0.0,0.0,0.9853660886594269,0.9852177
81,2021-10-18,0.9890649934259323,0.9795326445179385,0.9948749171787399,0.9890649934259323,0.9890649934259323,-0.0016952770760474522,-0.0016952770760474522,-0.0016952770760474522,-0.0016952770760474522,-0.0016952770760474522,-0.0016952770760474522,0.0,0.0,0.0,0.9873697163498849,0.9868398
82,2021-10-19,0.9890667545684108,0.9786445343114362,0.9933778458992817,0.9890667545684108,0.9890667545684108,-0.002846392095731516,-0.002846392095731516,-0.002846392095731516,-0.002846392095731516,-0.002846392095731516,-0.002846392095731516,0.0,0.0,0.0,0.9862203624726792,0.9852160626
83,2021-10-21,0.9890705318683446,0.9771049406928011,0.9925955581486487,0.9890705318683446,0.9890705318683446,-0.0036918601965931375,-0.0036918601965931375,-0.0036918601965931375,-0.0036918601965931375,-0.0036918601965931375,-0.0036918601965931375,0.0,0.0,0.0,0.9853786716717514,0.9861493
84,2021-10-25,0.9890780864682123,0.9793425500297678,0.994863705149108,0.9890780864682123,0.9890780864682123,-0.0016952770760476899,-0.0016952770760476899,-0.0016952770760476899,-0.0016952770760476899,-0.0016952770760476899,-0.0016952770760476899,0.0,0.0,0.0,0.9873828093921646,0.9890628
85,2021-10-26,0.9890799751181792,0.9789279527473834,0.9937230548340087,0.9890799751181792,0.9890799751181792,-0.0028463920957267188,-0.0028463920957267188,-0.0028463920957267188,-0.0028463920957267188,-0.0028463920957267188,-0.0028463920957267188,0.0,0.0,0.0,0.9862335830224526,0.9861446
86,2021-10-28,0.989083752418113,0.9775299545367793,0.9926909747064527,0.989083752418113,0.989083752418113,-0.0036918601965946134,-0.0036918601965946134,-0.0036918601965946134,-0.0036918601965946134,-0.0036918601965946134,-0.0036918601965946134,0.0,0.0,0.0,0.9853918922215184,0.9837074
